Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCA_014324065.1	Hormoscilla sp. SP12CHS1				SP12CHS1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4999041	Scaffold	2020-08-28	JACOMV01
GCA_014324025.1	Hormoscilla sp. SP5CHS1				SP5CHS1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4833173	Scaffold	2020-08-28	JACONA01
GCF_001904635.1	Hydrococcus rivularis NIES-593		NIES-593				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5148315	Scaffold	2016-12-14	MRCB01
GCA_001904635.1	Hydrococcus rivularis NIES-593		NIES-593				NCBI Prokaryotic Genome Annotation Pipeline	5148315	Scaffold	2016-12-14	MRCB01
GCA_012032735.1	Hydrococcus sp. RU_2_2				RU_2_2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6184304	Scaffold	2020-04-05	JAAURN01
GCF_002260545.1	Hydrocoleum sp. CS-953		CS-953				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8387203	Scaffold	2017-08-18	LGSU01
GCA_002260545.1	Hydrocoleum sp. CS-953		CS-953				NCBI Prokaryotic Genome Annotation Pipeline	8387203	Scaffold	2017-08-18	LGSU01
GCF_900659865.1	Hyella patelloides LEGE 07179				1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8063701	Scaffold	2019-07-19	CAACVJ01
GCA_900659865.1	Hyella patelloides LEGE 07179				1		Annotation submitted by i3S/IBMC	8063701	Scaffold	2019-07-19	CAACVJ01
GCF_014698965.1	Iningainema tapete BLCC-T55		BLCC-T55				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9507908	Scaffold	2020-09-22	JACXAE01
GCA_014698965.1	Iningainema tapete BLCC-T55		BLCC-T55				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9507908	Scaffold	2020-09-22	JACXAE01
GCF_000332155.1	Kamptonema formosum PCC 6407		PCC 6407				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6894060	Scaffold	2013-01-22	ALVI01
GCA_000332155.1	Kamptonema formosum PCC 6407		PCC 6407					6894060	Scaffold	2013-01-22	ALVI01
GCA_010672865.1	Kamptonema sp. SIO1D9				SIO1D9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6162206	Scaffold	2020-02-16	JAAHFS01
GCF_014831675.1	Komarekiella sp. 'clone 1'		clone 1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8497696	Scaffold	2020-09-30	VJXY01
GCA_014831675.1	Komarekiella sp. 'clone 1'		clone 1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8497696	Scaffold	2020-09-30	VJXY01
GCF_000353285.1	Leptolyngbya boryana PCC 6306		PCC 6306				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7262454	Scaffold	2013-04-06	ALVM01
GCA_000353285.1	Leptolyngbya boryana PCC 6306		PCC 6306					7262454	Scaffold	2013-04-06	ALVM01
GCA_003242035.1	Leptolyngbya foveolarum				ULC129bin1		NCBI Prokaryotic Genome Annotation Pipeline	4750982	Scaffold	2018-06-18	QBMC01
GCF_002215035.1	Leptolyngbya ohadii IS1		IS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7902459	Scaffold	2017-07-05	NKFP01
GCA_002215035.1	Leptolyngbya ohadii IS1		IS1					7902459	Scaffold	2017-07-05	NKFP01
GCA_003249025.1	Leptolyngbya sp.				ULC077bin1		NCBI Prokaryotic Genome Annotation Pipeline	5462880	Scaffold	2018-06-19	QBMH01
GCA_003249105.1	Leptolyngbya sp.				ULC186bin1		NCBI Prokaryotic Genome Annotation Pipeline	5080999	Scaffold	2018-06-19	QBLT01
GCA_003249155.1	Leptolyngbya sp.				ULC073bin1		NCBI Prokaryotic Genome Annotation Pipeline	4608713	Scaffold	2018-06-19	QBMJ01
GCF_016807185.1	Leptolyngbya sp. Cla-17		Cla-17				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6647508	Scaffold	2021-02-04	JAEVYN01
GCA_016807185.1	Leptolyngbya sp. Cla-17		Cla-17				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6647508	Scaffold	2021-02-04	JAEVYN01
GCF_004212215.1	Leptolyngbya sp. LK		LK				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5718148	Scaffold	2019-02-19	QVFV01
GCA_004212215.1	Leptolyngbya sp. LK		LK				NCBI Prokaryotic Genome Annotation Pipeline	5718148	Scaffold	2019-02-19	QVFV01
GCF_000332095.2	Leptolyngbya sp. PCC 6406		PCC 6406				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5776957	Scaffold	2014-01-15	ALVV02
GCA_000332095.2	Leptolyngbya sp. PCC 6406		PCC 6406					5776957	Scaffold	2014-01-15	ALVV02
GCF_000316115.1	Leptolyngbya sp. PCC 7375		PCC 7375				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9422968	Scaffold	2012-12-03	ALVN01
GCA_000316115.1	Leptolyngbya sp. PCC 7375		PCC 7375				Annotation submitted by DOE Joint Genome Institute	9422968	Scaffold	2012-12-03	ALVN01
GCA_010672145.1	Leptolyngbya sp. SIO3F4				SIO3F4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8111629	Scaffold	2020-02-16	JAAHHO01
GCA_010671905.1	Leptolyngbya sp. SIOISBB				SIOISBB		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8337038	Scaffold	2020-02-16	JAAHII01
GCA_012032565.1	Leptolyngbyaceae cyanobacterium SL_5_9				SL_5_9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4618940	Scaffold	2020-04-05	JAAUST01
GCA_012030915.1	Leptolyngbyaceae cyanobacterium SU_3_3				SU_3_3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3276067	Scaffold	2020-04-05	JAAUUY01
GCF_018739865.1	Leptothoe kymatousa TAU-MAC 1615		TAU-MAC 1615				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4068244	Scaffold	2021-06-07	JADOER01
GCA_018739865.1	Leptothoe kymatousa TAU-MAC 1615		TAU-MAC 1615				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4068244	Scaffold	2021-06-07	JADOER01
GCF_018739885.1	Leptothoe spongobia TAU-MAC 1115		TAU-MAC 1115				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5231199	Scaffold	2021-06-07	JADOES01
GCA_018739885.1	Leptothoe spongobia TAU-MAC 1115		TAU-MAC 1115				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5231199	Scaffold	2021-06-07	JADOES01
GCF_000972705.2	Limnoraphis robusta CS-951		CS-951				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7314117	Scaffold	2015-07-17	LATL02
GCA_000972705.2	Limnoraphis robusta CS-951		CS-951				NCBI Prokaryotic Genome Annotation Pipeline	7314117	Scaffold	2015-07-17	LATL02
GCF_000176895.2	Limnospira indica PCC 8005		PCC 8005				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6166364	Scaffold	2012-02-14	CAFN01
GCA_000176895.2	Limnospira indica PCC 8005		PCC 8005				Annotation submitted by SCK-CEN, Belgian Nuclear Research Center/Genoscope	6166364	Scaffold	2012-02-14	CAFN01
GCF_001904615.1	Limnothrix rosea IAM M-220		IAM M-220				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4065636	Scaffold	2016-12-15	MRBY01
GCA_001904615.1	Limnothrix rosea IAM M-220		IAM M-220				NCBI Prokaryotic Genome Annotation Pipeline	4065636	Scaffold	2016-12-15	MRBY01
GCA_001698445.1	Limnothrix sp. P13C2				P13C2		NCBI Prokaryotic Genome Annotation Pipeline	4583806	Scaffold	2016-08-03	MBRF01
GCF_002742025.1	Limnothrix sp. PR1529		PR1529				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4586650	Scaffold	2017-11-02	LIRO01
GCA_002742025.1	Limnothrix sp. PR1529		PR1529				NCBI Prokaryotic Genome Annotation Pipeline	4586650	Scaffold	2017-11-02	LIRO01
GCA_012033055.1	Limnothrix sp. RL_2_0				RL_2_0		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4131928	Scaffold	2020-04-05	JAAUPR01
GCF_000817775.3	Lyngbya confervoides BDU141951		BDU141951				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4850174	Scaffold	2022-06-07	JTHE03
GCA_000817775.3	Lyngbya confervoides BDU141951		BDU141951				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4850174	Scaffold	2022-06-07	JTHE03
GCF_000315565.1	Mastigocladopsis repens PCC 10914		PCC 10914				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6465655	Scaffold	2012-11-30	ALVW01
GCA_000315565.1	Mastigocladopsis repens PCC 10914		PCC 10914					6465655	Scaffold	2012-11-30	ALVW01
GCF_001990805.2	Mastigocladus laminosus UU774		UU774				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7040464	Scaffold	2019-04-02	MNPM02
GCA_001990805.2	Mastigocladus laminosus UU774		UU774				NCBI Prokaryotic Genome Annotation Pipeline	7040464	Scaffold	2019-04-02	MNPM02
GCA_003346915.1	Mastigocladus laminosus WC112		WC112				NCBI Prokaryotic Genome Annotation Pipeline	5289159	Scaffold	2018-07-31	NGJL01
GCA_003506815.1	Microcoleaceae bacterium UBA10368				UBA10368		NCBI Prokaryotic Genome Annotation Pipeline	5190650	Scaffold	2018-09-07	DNYC01
GCA_003483675.1	Microcoleaceae bacterium UBA11344				UBA11344		NCBI Prokaryotic Genome Annotation Pipeline	4779623	Scaffold	2018-09-06	DMYK01
GCA_003542015.1	Microcoleaceae bacterium UBA9251				UBA9251		NCBI Prokaryotic Genome Annotation Pipeline	5427942	Scaffold	2018-09-10	DPLL01
GCF_013179805.1	Microcoleus asticus IPMA8		IPMA8				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7545152	Scaffold	2020-05-28	SRRZ01
GCA_013179805.1	Microcoleus asticus IPMA8		IPMA8				Annotation submitted by Instituto Gulbenkian Ciencia	7545152	Scaffold	2020-05-28	SRRZ01
GCA_020738945.1	Microcoleus sp. PH2017_01_SCD_O_A				PH2017_01_SCD_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7541616	Scaffold	2021-11-03	JAEQBX01
GCA_020738905.1	Microcoleus sp. PH2017_02_FOX_O_A				PH2017_02_FOX_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7507973	Scaffold	2021-11-03	JAEQBY01
GCA_020738805.1	Microcoleus sp. PH2017_03_ELD_O_A				PH2017_03_ELD_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6536775	Scaffold	2021-11-03	JAEQBZ01
GCA_020738835.1	Microcoleus sp. PH2017_04_SCI_O_A				PH2017_04_SCI_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6435454	Scaffold	2021-11-03	JAEQCA01
GCA_020738785.1	Microcoleus sp. PH2017_05_CCC_O_A				PH2017_05_CCC_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7704613	Scaffold	2021-11-03	JAEQCB01
GCA_020738825.1	Microcoleus sp. PH2017_06_SFM_O_A				PH2017_06_SFM_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6860702	Scaffold	2021-11-03	JAEQCC01
GCA_020738685.1	Microcoleus sp. PH2017_07_MST_O_A				PH2017_07_MST_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7246517	Scaffold	2021-11-03	JAEQCD01
GCA_020738665.1	Microcoleus sp. PH2017_08_TRC_O_A				PH2017_08_TRC_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7560343	Scaffold	2021-11-03	JAEQCE01
GCA_020738625.1	Microcoleus sp. PH2017_09_SFU_O_A				PH2017_09_SFU_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7233362	Scaffold	2021-11-03	JAEQCF01
GCA_020738635.1	Microcoleus sp. PH2017_10_PVI_O_A				PH2017_10_PVI_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7555786	Scaffold	2021-11-03	JAEQCG01
GCA_020738595.1	Microcoleus sp. PH2017_11_PCY_U_A				PH2017_11_PCY_U_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7624754	Scaffold	2021-11-03	JAEQCH01
GCA_020738565.1	Microcoleus sp. PH2017_12_PCY_D_A				PH2017_12_PCY_D_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7603305	Scaffold	2021-11-03	JAEQCI01
GCA_020738505.1	Microcoleus sp. PH2017_13_LAR_U_A				PH2017_13_LAR_U_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7575791	Scaffold	2021-11-03	JAEQCJ01
GCA_020738465.1	Microcoleus sp. PH2017_14_LAR_D_A				PH2017_14_LAR_D_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7586717	Scaffold	2021-11-03	JAEQCK01
GCA_020738445.1	Microcoleus sp. PH2017_15_JOR_U_A				PH2017_15_JOR_U_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7647288	Scaffold	2021-11-03	JAEQCL01
GCA_020738475.1	Microcoleus sp. PH2017_16_JOR_D_A				PH2017_16_JOR_D_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7354120	Scaffold	2021-11-03	JAEQCM01
GCA_020738515.1	Microcoleus sp. PH2017_17_BER_D_A				PH2017_17_BER_D_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7613317	Scaffold	2021-11-03	JAEQCN01
GCA_020738385.1	Microcoleus sp. PH2017_18_LLB_O_A				PH2017_18_LLB_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7525551	Scaffold	2021-11-03	JAEQCO01
GCA_020738265.1	Microcoleus sp. PH2017_19_SFW_U_A				PH2017_19_SFW_U_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7585625	Scaffold	2021-11-03	JAEQCP01
GCA_020738295.1	Microcoleus sp. PH2017_20_SFW_D_A				PH2017_20_SFW_D_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7593467	Scaffold	2021-11-03	JAEQCQ01
GCA_020738285.1	Microcoleus sp. PH2017_21_RUC_O_A				PH2017_21_RUC_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7523049	Scaffold	2021-11-03	JAEQCR01
GCA_020738275.1	Microcoleus sp. PH2017_22_RUC_O_B				PH2017_22_RUC_O_B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7503682	Scaffold	2021-11-03	JAEQCS01
GCA_020738205.1	Microcoleus sp. PH2017_24_DOB_U_A				PH2017_24_DOB_U_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7459424	Scaffold	2021-11-03	JAEQCT01
GCA_020738135.1	Microcoleus sp. PH2017_25_DOB_D_A				PH2017_25_DOB_D_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7466140	Scaffold	2021-11-03	JAEQCU01
GCA_020738105.1	Microcoleus sp. PH2017_26_ELK_O_A				PH2017_26_ELK_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7737596	Scaffold	2021-11-03	JAEQCV01
GCA_020738075.1	Microcoleus sp. PH2017_27_LUM_O_A				PH2017_27_LUM_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7492223	Scaffold	2021-11-03	JAEQCW01
GCA_020738035.1	Microcoleus sp. PH2017_28_MFU_U_A				PH2017_28_MFU_U_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7559300	Scaffold	2021-11-03	JAEQCX01
GCA_020738025.1	Microcoleus sp. PH2017_29_MFU_D_A				PH2017_29_MFU_D_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7639537	Scaffold	2021-11-03	JAEQCY01
GCA_020737965.1	Microcoleus sp. PH2017_30_WIL_O_A				PH2017_30_WIL_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7843309	Scaffold	2021-11-03	JAEQCZ01
GCA_020737895.1	Microcoleus sp. PH2017_31_RDM_U_A				PH2017_31_RDM_U_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7525651	Scaffold	2021-11-03	JAEQDA01
GCA_020737945.1	Microcoleus sp. PH2017_32_RDM_D_A				PH2017_32_RDM_D_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7527500	Scaffold	2021-11-03	JAEQDB01
GCA_020737905.1	Microcoleus sp. PH2017_33_LGB_O_A				PH2017_33_LGB_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7238112	Scaffold	2021-11-03	JAEQDC01
GCA_020737885.1	Microcoleus sp. PH2017_34_RAT_O_A				PH2017_34_RAT_O_A		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7467879	Scaffold	2021-11-03	JAEQDD01
GCA_020737865.1	Microcoleus sp. PH2017_35_SFW_U_B				PH2017_35_SFW_U_B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7592293	Scaffold	2021-11-03	JAEQDE01
GCA_020737805.1	Microcoleus sp. PH2017_36_ELK_O_B				PH2017_36_ELK_O_B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7742901	Scaffold	2021-11-03	JAEQDF01
GCA_020737775.1	Microcoleus sp. PH2017_37_MFU_D_B				PH2017_37_MFU_D_B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7585384	Scaffold	2021-11-03	JAEQDG01
GCA_020737765.1	Microcoleus sp. PH2017_38_RDM_U_B				PH2017_38_RDM_U_B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7539312	Scaffold	2021-11-03	JAEQDH01
GCA_020737835.1	Microcoleus sp. PH2017_39_LGB_O_B				PH2017_39_LGB_O_B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7232803	Scaffold	2021-11-03	JAEQDI01
GCA_020737825.1	Microcoleus sp. PH2017_40_RAT_O_B				PH2017_40_RAT_O_B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7528392	Scaffold	2021-11-03	JAEQDJ01
GCA_010672365.1	Microcoleus sp. SIO2G3				SIO2G3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	10324017	Scaffold	2020-02-16	JAAHGV01
GCA_012030835.1	Microcoleus sp. SU_5_3				SU_5_3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7118402	Scaffold	2020-04-05	JAAUVD01
GCF_007990565.1	Microcystis aeruginosa 11-30S32		11-30S32				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5356852	Scaffold	2019-08-01	BHVU01
GCA_007990565.1	Microcystis aeruginosa 11-30S32		11-30S32				Annotation submitted by Laboratory of Marine Microbiology, Graduate school of Agriculture, Kyoto university	5356852	Scaffold	2019-08-01	BHVU01
GCA_009996525.1	Microcystis aeruginosa BK11-02				BK11-02		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4923799	Scaffold	2020-01-29	JAADAC01
GCA_009996535.1	Microcystis aeruginosa BS11-05				BS11-05		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4924915	Scaffold	2020-01-29	JAADAD01
GCA_009996485.1	Microcystis aeruginosa BS13-02				BS13-02		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4624404	Scaffold	2020-01-29	JAADAE01
GCA_009996415.1	Microcystis aeruginosa BS13-10				BS13-10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5179655	Scaffold	2020-01-29	JAADAF01
GCF_001895325.1	Microcystis aeruginosa CHAOHU 1326		CHAOHU 1326				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5271683	Scaffold	2016-12-09	MOLZ01
GCA_001895325.1	Microcystis aeruginosa CHAOHU 1326		CHAOHU 1326					5271683	Scaffold	2016-12-09	MOLZ01
GCA_003388675.1	Microcystis aeruginosa DA14				DA14		NCBI Prokaryotic Genome Annotation Pipeline	5140879	Scaffold	2018-08-14	QQWE01
GCA_009996455.1	Microcystis aeruginosa F13-15				F13-15		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5435224	Scaffold	2020-01-29	JAADAG01
GCF_003730145.1	Microcystis aeruginosa FACHB-524		FACHB-524				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4845568	Scaffold	2018-11-14	RJVW01
GCA_003730145.1	Microcystis aeruginosa FACHB-524		FACHB-524				NCBI Prokaryotic Genome Annotation Pipeline	4845568	Scaffold	2018-11-14	RJVW01
GCA_009996405.1	Microcystis aeruginosa G11-01				G11-01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5239892	Scaffold	2020-01-29	JAADAH01
GCA_009996445.1	Microcystis aeruginosa G11-04				G11-04		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5001263	Scaffold	2020-01-29	JAADAI01
GCA_009996385.1	Microcystis aeruginosa G11-06				G11-06		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5135684	Scaffold	2020-01-29	JAADAJ01
GCA_009996365.1	Microcystis aeruginosa G11-09				G11-09		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5067842	Scaffold	2020-01-29	JAADAK01
GCA_009996325.1	Microcystis aeruginosa G13-01				G13-01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5071891	Scaffold	2020-01-29	JAADAL01
GCA_009996315.1	Microcystis aeruginosa G13-03				G13-03		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5124586	Scaffold	2020-01-29	JAADAM01
GCA_009996285.1	Microcystis aeruginosa G13-05				G13-05		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5110248	Scaffold	2020-01-29	JAADAN01
GCA_009996305.1	Microcystis aeruginosa G13-07				G13-07		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5086490	Scaffold	2020-01-29	JAADAO01
GCA_009996255.1	Microcystis aeruginosa G13-09				G13-09		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4912351	Scaffold	2020-01-29	JAADAP01
GCA_009996235.1	Microcystis aeruginosa G13-10				G13-10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5115854	Scaffold	2020-01-29	JAADAQ01
GCA_009996195.1	Microcystis aeruginosa G13-11				G13-11		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5017716	Scaffold	2020-01-29	JAADAR01
GCA_009996205.1	Microcystis aeruginosa G13-12				G13-12		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5074513	Scaffold	2020-01-29	JAADAS01
GCA_009996185.1	Microcystis aeruginosa K13-05				K13-05		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5273531	Scaffold	2020-01-29	JAADAT01
GCA_009996165.1	Microcystis aeruginosa K13-06				K13-06		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4988130	Scaffold	2020-01-29	JAADAU01
GCA_009996145.1	Microcystis aeruginosa K13-07				K13-07		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4981878	Scaffold	2020-01-29	JAADAV01
GCA_009996105.1	Microcystis aeruginosa K13-10				K13-10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5313379	Scaffold	2020-01-29	JAADAW01
GCF_008257445.1	Microcystis aeruginosa KLA2		KLA2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5213465	Scaffold	2019-09-03	VTRR01
GCA_008257445.1	Microcystis aeruginosa KLA2		KLA2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5213465	Scaffold	2019-09-03	VTRR01
GCA_009996095.1	Microcystis aeruginosa L111-01				L111-01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5012425	Scaffold	2020-01-29	JAADAX01
GCA_009996085.1	Microcystis aeruginosa L211-07				L211-07		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4934342	Scaffold	2020-01-29	JAADAY01
GCA_009996045.1	Microcystis aeruginosa L211-101				L211-101		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5104737	Scaffold	2020-01-29	JAADAZ01
GCA_009996055.1	Microcystis aeruginosa L211-11				L211-11		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5115307	Scaffold	2020-01-29	JAADBA01
GCA_009996025.1	Microcystis aeruginosa L311-01				L311-01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4768617	Scaffold	2020-01-29	JAADBB01
GCA_009995995.1	Microcystis aeruginosa LE13-04				LE13-04		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5037574	Scaffold	2020-01-29	JAADBC01
GCA_009995965.1	Microcystis aeruginosa LG11-05				LG11-05		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5059631	Scaffold	2020-01-29	JAADBD01
GCA_009995985.1	Microcystis aeruginosa LG13-03				LG13-03		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5040932	Scaffold	2020-01-29	JAADBE01
GCA_009995945.1	Microcystis aeruginosa LG13-11				LG13-11		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5079950	Scaffold	2020-01-29	JAADBF01
GCA_009995925.1	Microcystis aeruginosa LG13-12				LG13-12		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4984250	Scaffold	2020-01-29	JAADBG01
GCA_009995845.1	Microcystis aeruginosa LG13-13				LG13-13		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5048915	Scaffold	2020-01-29	JAADBH01
GCA_009995885.1	Microcystis aeruginosa LL13-03				LL13-03		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5133314	Scaffold	2020-01-29	JAADBJ01
GCA_009995895.1	Microcystis aeruginosa LL13-06				LL13-06		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4822445	Scaffold	2020-01-29	JAADBK01
GCF_003206625.1	Microcystis aeruginosa NIES-1211		NIES-1211				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4738389	Scaffold	2018-06-08	BEIV01
GCA_003206625.1	Microcystis aeruginosa NIES-1211		NIES-1211				Annotation submitted by University of Tsukuba	4738389	Scaffold	2018-06-08	BEIV01
GCF_008579225.1	Microcystis aeruginosa NIES-2519		NIES-2519				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4937310	Scaffold	2019-09-03	BHVO01
GCA_008579225.1	Microcystis aeruginosa NIES-2519		NIES-2519				Annotation submitted by University of Tsukuba	4937310	Scaffold	2019-09-03	BHVO01
GCF_008579325.1	Microcystis aeruginosa NIES-2520		NIES-2520				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5271797	Scaffold	2019-09-03	BHVP01
GCA_008579325.1	Microcystis aeruginosa NIES-2520		NIES-2520				Annotation submitted by University of Tsukuba	5271797	Scaffold	2019-09-03	BHVP01
GCF_008579445.1	Microcystis aeruginosa NIES-2521		NIES-2521				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4274778	Scaffold	2019-09-03	BHVQ01
GCA_008579445.1	Microcystis aeruginosa NIES-2521		NIES-2521				Annotation submitted by Universit of Tsukuba	4274778	Scaffold	2019-09-03	BHVQ01
GCF_008579565.1	Microcystis aeruginosa NIES-2522		NIES-2522				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4895273	Scaffold	2019-09-03	BHVR01
GCA_008579565.1	Microcystis aeruginosa NIES-2522		NIES-2522				Annotation submitted by University of Tsukuba	4895273	Scaffold	2019-09-03	BHVR01
