Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCA_014698505.1	Nostoc foliaceum FACHB-393		FACHB-393				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8870024	Contig	2020-09-22	JACJTD01
GCA_019359215.1	Nostoc indistinguendum CM1-VF10		CM1-VF10				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8868606	Contig	2021-07-27	JAHHHS01
GCF_014696615.1	Nostoc linckia FACHB-104		FACHB-104				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9388111	Contig	2020-09-22	JACJQJ01
GCA_014696615.1	Nostoc linckia FACHB-104		FACHB-104				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9388111	Contig	2020-09-22	JACJQJ01
GCF_014698525.1	Nostoc linckia FACHB-391		FACHB-391				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8812181	Contig	2020-09-22	JACJTE01
GCA_014698525.1	Nostoc linckia FACHB-391		FACHB-391				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8812181	Contig	2020-09-22	JACJTE01
GCA_003326215.1	Nostoc minutum NIES-26				NIES-26		NCBI Prokaryotic Genome Annotation Pipeline	9839803	Contig	2018-07-18	LXQD01
GCF_014698835.1	Nostoc paludosum FACHB-159		FACHB-159				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9270090	Contig	2020-09-22	JACJTU01
GCA_014698835.1	Nostoc paludosum FACHB-159		FACHB-159				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9270090	Contig	2020-09-22	JACJTU01
GCF_014696625.1	Nostoc parmelioides FACHB-3921		FACHB-3921				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7774718	Contig	2020-09-22	JACJQL01
GCA_014696625.1	Nostoc parmelioides FACHB-3921		FACHB-3921				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7774718	Contig	2020-09-22	JACJQL01
GCF_014698495.1	Nostoc punctiforme FACHB-252		FACHB-252				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8954766	Contig	2020-09-22	JACJTC01
GCA_014698495.1	Nostoc punctiforme FACHB-252		FACHB-252				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8954766	Contig	2020-09-22	JACJTC01
GCF_002154725.1	Nostoc sp. 106C		106C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8662725	Contig	2017-05-22	MTAW01
GCA_002154725.1	Nostoc sp. 106C		106C				NCBI Prokaryotic Genome Annotation Pipeline	8662725	Contig	2017-05-22	MTAW01
GCF_014222165.1	Nostoc sp. 2RC		2RC				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8684590	Contig	2020-08-17	JACKZU01
GCA_014222165.1	Nostoc sp. 2RC		2RC				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8684590	Contig	2020-08-17	JACKZU01
GCA_003326205.1	Nostoc sp. ATCC 43529				ATCC 43529		NCBI Prokaryotic Genome Annotation Pipeline	8458523	Contig	2018-07-18	LWTK01
GCF_003326245.1	Nostoc sp. ATCC 53789		ATCC 53789				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8536834	Contig	2018-07-18	LWSY01
GCA_003326245.1	Nostoc sp. ATCC 53789		ATCC 53789				NCBI Prokaryotic Genome Annotation Pipeline	8536834	Contig	2018-07-18	LWSY01
GCA_014534555.1	Nostoc sp. C3-bin3				C3-bin3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6228448	Contig	2020-09-14	JACVRH01
GCA_023522315.1	Nostoc sp. CCCryo 231-06				CCCryo 231-06		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7078492	Contig	2022-05-23	JAHCSU01
GCF_021596505.1	Nostoc sp. CMAA1605		CMAA1605				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6727202	Contig	2022-01-25	PJIZ01
GCA_021596505.1	Nostoc sp. CMAA1605		CMAA1605				NCBI Prokaryotic Genome Annotation Pipeline	6727202	Contig	2022-01-25	PJIZ01
GCF_014697425.1	Nostoc sp. FACHB-110		FACHB-110				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7986182	Contig	2020-09-22	JACJRU01
GCA_014697425.1	Nostoc sp. FACHB-110		FACHB-110				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7986182	Contig	2020-09-22	JACJRU01
GCF_014698055.1	Nostoc sp. FACHB-133		FACHB-133				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8861200	Contig	2020-09-22	JACJSH01
GCA_014698055.1	Nostoc sp. FACHB-133		FACHB-133				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8861200	Contig	2020-09-22	JACJSH01
GCF_014697455.1	Nostoc sp. FACHB-145		FACHB-145				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9123432	Contig	2020-09-22	JACJRW01
GCA_014697455.1	Nostoc sp. FACHB-145		FACHB-145				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9123432	Contig	2020-09-22	JACJRW01
GCF_014697475.1	Nostoc sp. FACHB-152		FACHB-152				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8618724	Contig	2020-09-22	JACJRV01
GCA_014697475.1	Nostoc sp. FACHB-152		FACHB-152				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8618724	Contig	2020-09-22	JACJRV01
GCF_014696905.1	Nostoc sp. FACHB-190		FACHB-190				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8463672	Contig	2020-09-22	JACJQW01
GCA_014696905.1	Nostoc sp. FACHB-190		FACHB-190				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8463672	Contig	2020-09-22	JACJQW01
GCF_014697615.1	Nostoc sp. FACHB-280		FACHB-280				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7642597	Contig	2020-09-22	JACJSD01
GCA_014697615.1	Nostoc sp. FACHB-280		FACHB-280				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7642597	Contig	2020-09-22	JACJSD01
GCF_014698635.1	Nostoc sp. FACHB-857		FACHB-857				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9241482	Contig	2020-09-22	JACJTK01
GCA_014698635.1	Nostoc sp. FACHB-857		FACHB-857				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9241482	Contig	2020-09-22	JACJTK01
GCF_014697495.1	Nostoc sp. FACHB-87		FACHB-87				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8505861	Contig	2020-09-22	JACJRX01
GCA_014697495.1	Nostoc sp. FACHB-87		FACHB-87				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8505861	Contig	2020-09-22	JACJRX01
GCF_014696655.1	Nostoc sp. FACHB-888		FACHB-888				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8988648	Contig	2020-09-22	JACJQM01
GCA_014696655.1	Nostoc sp. FACHB-888		FACHB-888				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8988648	Contig	2020-09-22	JACJQM01
GCF_014698795.1	Nostoc sp. FACHB-892		FACHB-892				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9033956	Contig	2020-09-22	JACJTR01
GCA_014698795.1	Nostoc sp. FACHB-892		FACHB-892				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9033956	Contig	2020-09-22	JACJTR01
GCF_014698115.1	Nostoc sp. FACHB-973		FACHB-973				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9526178	Contig	2020-09-22	JACJSJ01
GCA_014698115.1	Nostoc sp. FACHB-973		FACHB-973				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9526178	Contig	2020-09-22	JACJSJ01
GCA_014324315.1	Nostoc sp. HG1		HG1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9154567	Contig	2020-08-28	VJOX01
GCF_015207705.1	Nostoc sp. LEGE 06077		LEGE 06077				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7337961	Contig	2020-11-02	JADEWI01
GCA_015207705.1	Nostoc sp. LEGE 06077		LEGE 06077				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7337961	Contig	2020-11-02	JADEWI01
GCF_015206895.1	Nostoc sp. LEGE 12450		LEGE 12450				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8816581	Contig	2020-11-02	JADEXU01
GCA_015206895.1	Nostoc sp. LEGE 12450		LEGE 12450				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8816581	Contig	2020-11-02	JADEXU01
GCF_014904695.1	Nostoc sp. MG11		MG11				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8410901	Contig	2020-10-20	JACXXN01
GCA_014904695.1	Nostoc sp. MG11		MG11					8410901	Contig	2020-10-20	JACXXN01
GCF_015714705.1	Nostoc sp. NZL		NZL				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7473008	Contig	2020-12-02	WBKL01
GCA_015714705.1	Nostoc sp. NZL		NZL				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7473008	Contig	2020-12-02	WBKL01
GCF_005869855.1	Nostoc sp. PA-18-2419		JC1668				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7618130	Contig	2019-05-28	SZNH01
GCA_005869855.1	Nostoc sp. PA-18-2419		JC1668					7618130	Contig	2019-05-28	SZNH01
GCF_014696735.1	Nostoc sp. PCC 7120 = FACHB-418		FACHB-418				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7080276	Contig	2020-09-22	JACJQQ01
GCA_014696735.1	Nostoc sp. PCC 7120 = FACHB-418		FACHB-418				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7080276	Contig	2020-09-22	JACJQQ01
GCA_016124525.1	Nostoc sp. RI_552				RI_552		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4195139	Contig	2020-12-18	WGNO01
GCA_018993265.1	Nostoc sp. TH1S01				TH1S01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7653454	Contig	2021-06-23	JAGKSW01
GCF_014222255.1	Nostoc sp. UCD120		UCD120				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8411387	Contig	2020-08-17	JACKZR01
GCA_014222255.1	Nostoc sp. UCD120		UCD120				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8411387	Contig	2020-08-17	JACKZR01
GCF_014222285.1	Nostoc sp. UCD121		UCD121				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8499034	Contig	2020-08-17	JACKZS01
GCA_014222285.1	Nostoc sp. UCD121		UCD121				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8499034	Contig	2020-08-17	JACKZS01
GCF_014222275.1	Nostoc sp. UCD122		UCD122				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8288950	Contig	2020-08-17	JACKZN01
GCA_014222275.1	Nostoc sp. UCD122		UCD122				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8288950	Contig	2020-08-17	JACKZN01
GCF_010747425.1	Nostoc sp. UIC 10630		UIC 10630				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8896073	Contig	2020-02-18	JAAGOG01
GCA_010747425.1	Nostoc sp. UIC 10630		UIC 10630				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8896073	Contig	2020-02-18	JAAGOG01
GCF_015714725.1	Nostoc sp. WHI		WHI				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8562728	Contig	2020-12-02	WBKM01
GCA_015714725.1	Nostoc sp. WHI		WHI				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8562728	Contig	2020-12-02	WBKM01
GCF_020829465.1	Nostoc sphaeroides CHAB 2801		CHAB 2801				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9217956	Contig	2021-11-10	JAIVFZ01
GCA_020829465.1	Nostoc sphaeroides CHAB 2801		CHAB 2801				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9217956	Contig	2021-11-10	JAIVFZ01
GCF_014698475.1	Nostoc spongiaeforme FACHB-130		FACHB-130				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7162047	Contig	2020-09-22	JACJTB01
GCA_014698475.1	Nostoc spongiaeforme FACHB-130		FACHB-130				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7162047	Contig	2020-09-22	JACJTB01
GCA_012035445.1	Nostocaceae cyanobacterium CSU_2_110				CSU_2_110		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2186616	Contig	2020-04-06	JAAUPG01
GCA_004292695.1	Nostocales cyanobacterium				PH2015_10S_36_12		NCBI Prokaryotic Genome Annotation Pipeline	5393899	Contig	2019-02-22	RDXV01
GCA_015207155.1	Nostocales cyanobacterium LEGE 11386		LEGE 11386				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6494076	Contig	2020-11-02	JADEXK01
GCA_015206945.1	Nostocales cyanobacterium LEGE 12452		LEGE 12452				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8381711	Contig	2020-11-02	JADEXV01
GCF_014696015.1	Oculatella sp. FACHB-28		FACHB-28				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7232243	Contig	2020-09-22	JACJPJ01
GCA_014696015.1	Oculatella sp. FACHB-28		FACHB-28				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7232243	Contig	2020-09-22	JACJPJ01
GCF_015207605.1	Oculatella sp. LEGE 06141		LEGE 06141				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7314991	Contig	2020-11-02	JADEWO01
GCA_015207605.1	Oculatella sp. LEGE 06141		LEGE 06141				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7314991	Contig	2020-11-02	JADEWO01
GCF_003838195.1	Okeania hirsuta		PAB10Feb10-1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8786841	Contig	2018-11-26	RCBY01
GCA_003838195.1	Okeania hirsuta		PAB10Feb10-1				NCBI Prokaryotic Genome Annotation Pipeline	8786841	Contig	2018-11-26	RCBY01
GCF_014132355.1	Okeania sp. KiyG1		KiyG1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	10982302	Contig	2020-07-16	BLZO01
GCA_014132355.1	Okeania sp. KiyG1		KiyG1				Annotation submitted by Waseda University	10982302	Contig	2020-07-16	BLZO01
GCA_019359235.1	Oscillatoria princeps RMCB-10				RMCB-10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8493665	Contig	2021-07-27	JAHHHT01
GCF_020144665.1	Oscillatoria salina IIICB1		IIICB1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5961499	Contig	2021-09-24	JAAHBQ01
GCA_020144665.1	Oscillatoria salina IIICB1		IIICB1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5961499	Contig	2021-09-24	JAAHBQ01
GCF_014698145.1	Oscillatoria sp. FACHB-1406		FACHB-1406				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5466777	Contig	2020-09-22	JACJSM01
GCA_014698145.1	Oscillatoria sp. FACHB-1406		FACHB-1406				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5466777	Contig	2020-09-22	JACJSM01
GCF_014697545.1	Oscillatoria sp. FACHB-1407		FACHB-1407				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8128580	Contig	2020-09-22	JACJSA01
GCA_014697545.1	Oscillatoria sp. FACHB-1407		FACHB-1407				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8128580	Contig	2020-09-22	JACJSA01
GCF_024220515.1	Oscillatoria sp. HE19RPO		HE19RPO				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7671599	Contig	2022-07-12	JAMXOT01
GCA_024220515.1	Oscillatoria sp. HE19RPO		HE19RPO					7671599	Contig	2022-07-12	JAMXOT01
GCA_025054815.1	Oscillatoriaceae bacterium SKYG93				SKYG93		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3983825	Contig	2022-09-07	JANWZK01
GCA_015296065.1	Oscillatoriaceae cyanobacterium M33_DOE_052				M33_DOE_052		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6239239	Contig	2020-11-09	DVDU01
GCA_015295835.1	Oscillatoriaceae cyanobacterium M7585_C2015_266				M7585_C2015_266		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3979146	Contig	2020-11-09	DVEG01
GCA_004293705.1	Oscillatoriales cyanobacterium				PH2015_01U_45_14		NCBI Prokaryotic Genome Annotation Pipeline	7078622	Contig	2019-02-22	REAO01
GCA_015207075.1	Oscillatoriales cyanobacterium LEGE 11467		LEGE 11467				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4198480	Contig	2020-11-02	JADEXN01
GCA_015296005.1	Oscillatoriales cyanobacterium M4454_W2019_049				M4454_W2019_049		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5103222	Contig	2020-11-09	DVDY01
GCA_015295945.1	Oscillatoriales cyanobacterium M59_W2019_021				M59_W2019_021		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4985496	Contig	2020-11-09	DVED01
GCF_001482745.2	Oscillatoriales cyanobacterium MTP1		MTP1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7647882	Contig	2018-07-27	LNAA02
GCA_001482745.2	Oscillatoriales cyanobacterium MTP1		MTP1					7647882	Contig	2018-07-27	LNAA02
GCA_012033515.1	Oscillatoriales cyanobacterium RM1_1_9				RM1_1_9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2462917	Contig	2020-04-05	JAAUQR01
GCA_012033335.1	Oscillatoriales cyanobacterium RM2_1_1				RM2_1_1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5179519	Contig	2020-04-05	JAAURB01
GCA_012032195.1	Oscillatoriales cyanobacterium RU_3_3				RU_3_3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6668449	Contig	2020-04-05	JAAURP01
GCA_012031145.1	Oscillatoriales cyanobacterium SM2_2_1				SM2_2_1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3107800	Contig	2020-04-05	JAAUUH01
GCA_012030745.1	Oscillatoriales cyanobacterium SM2_3_0				SM2_3_0		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5114543	Contig	2020-04-05	JAAUUI01
GCA_016208305.1	Oscillatoriophycideae cyanobacterium NC_groundwater_1537_Pr4_S-0.65um_50_18				NC_groundwater_1537_Pr4_S-0.65um_50_18		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6939892	Contig	2020-12-21	JACQYI01
GCA_016743235.1	Pantanalinema sp. GBBB05				GBBB05		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7181771	Contig	2021-01-22	VRZD01
GCA_019359155.1	Pegethrix bostrychoides GSE-TBD4-15B				GSE-TBD4-15B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5724334	Contig	2021-07-27	JAHHHV01
GCA_019359115.1	Pelatocladus maniniholoensis HA4357-MV3				HA4357-MV3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6704691	Contig	2021-07-27	JAHHHW01
GCF_003003695.1	Phormidesmis priestleyi ULC007		ULC007				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5714281	Contig	2018-03-15	PVWG01
GCA_003003695.1	Phormidesmis priestleyi ULC007		ULC007				NCBI Prokaryotic Genome Annotation Pipeline	5714281	Contig	2018-03-15	PVWG01
GCF_017313335.1	Phormidium pseudopriestleyi FRX01		FRX01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5965908	Contig	2021-03-09	JAFLQW01
GCA_017313335.1	Phormidium pseudopriestleyi FRX01		FRX01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5965908	Contig	2021-03-09	JAFLQW01
GCA_020832215.1	Phormidium sp. BM_Day4_Bin.17				BM_Day4_Bin.17		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4707677	Contig	2021-11-10	JAFIFC01
GCF_014697375.1	Phormidium sp. FACHB-1136		FACHB-1136				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5983598	Contig	2020-09-22	JACJRS01
GCA_014697375.1	Phormidium sp. FACHB-1136		FACHB-1136				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5983598	Contig	2020-09-22	JACJRS01
GCF_014695965.1	Phormidium sp. FACHB-322		FACHB-322				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5720716	Contig	2020-09-22	JACJPH01
GCA_014695965.1	Phormidium sp. FACHB-322		FACHB-322				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5720716	Contig	2020-09-22	JACJPH01
GCF_014695795.1	Phormidium sp. FACHB-592		FACHB-592				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7081992	Contig	2020-09-22	JACJOZ01
GCA_014695795.1	Phormidium sp. FACHB-592		FACHB-592				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7081992	Contig	2020-09-22	JACJOZ01
GCF_014695595.1	Phormidium sp. FACHB-77		FACHB-77				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5937998	Contig	2020-09-22	JACJOP01
GCA_014695595.1	Phormidium sp. FACHB-77		FACHB-77				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5937998	Contig	2020-09-22	JACJOP01
GCA_007693465.1	Phormidium sp. GEM2.Bin31				GEM2.Bin31		NCBI Prokaryotic Genome Annotation Pipeline	3749065	Contig	2019-07-30	REDN01
GCF_015207735.1	Phormidium sp. LEGE 05292		LEGE 05292				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7498970	Contig	2020-11-02	JADEWG01
GCA_015207735.1	Phormidium sp. LEGE 05292		LEGE 05292				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7498970	Contig	2020-11-02	JADEWG01
GCA_019359175.1	Phormidium tanganyikae FI6-MK23				FI6-MK23		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5741135	Contig	2021-07-27	JAHHHU01
GCF_014696675.1	Phormidium tenue FACHB-1052		FACHB-1052				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5821333	Contig	2020-09-22	JACJQN01
GCA_014696675.1	Phormidium tenue FACHB-1052		FACHB-1052				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5821333	Contig	2020-09-22	JACJQN01
GCF_014764505.1	Phormidium tenue FACHB-886		FACHB-886				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8929093	Contig	2020-09-27	JACXWX01
GCA_014764505.1	Phormidium tenue FACHB-886		FACHB-886				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8929093	Contig	2020-09-27	JACXWX01
GCF_014698535.1	Planktothricoides sp. FACHB-1261		FACHB-1261				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7011366	Contig	2020-09-22	JACJTF01
GCA_014698535.1	Planktothricoides sp. FACHB-1261		FACHB-1261				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7011366	Contig	2020-09-22	JACJTF01
GCF_014698175.1	Planktothricoides sp. FACHB-1370		FACHB-1370				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6998517	Contig	2020-09-22	JACJSK01
GCA_014698175.1	Planktothricoides sp. FACHB-1370		FACHB-1370				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6998517	Contig	2020-09-22	JACJSK01
GCF_020594695.1	Planktothrix agardhii 1025		1025				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4973905	Contig	2021-10-25	JAJDMS01
GCA_020594695.1	Planktothrix agardhii 1025		1025				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4973905	Contig	2021-10-25	JAJDMS01
GCF_021555015.1	Planktothrix agardhii 1026		1026				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5422055	Contig	2022-01-23	JAKGPC01
GCA_021555015.1	Planktothrix agardhii 1026		1026				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5422055	Contig	2022-01-23	JAKGPC01
GCF_021554995.1	Planktothrix agardhii 1027		1027				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5152478	Contig	2022-01-23	JAKGPB01
GCA_021554995.1	Planktothrix agardhii 1027		1027				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5152478	Contig	2022-01-23	JAKGPB01
GCF_021554935.1	Planktothrix agardhii 1029		1029				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5147216	Contig	2022-01-23	JAKGPA01
GCA_021554935.1	Planktothrix agardhii 1029		1029				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5147216	Contig	2022-01-23	JAKGPA01
GCF_021554965.1	Planktothrix agardhii 1030		1030				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5113968	Contig	2022-01-23	JAKGOZ01
GCA_021554965.1	Planktothrix agardhii 1030		1030				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5113968	Contig	2022-01-23	JAKGOZ01
GCF_020594635.1	Planktothrix agardhii 1031		1031				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5046113	Contig	2021-10-25	JAJDMR01
GCA_020594635.1	Planktothrix agardhii 1031		1031				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5046113	Contig	2021-10-25	JAJDMR01
GCF_021554955.1	Planktothrix agardhii 1032		1032				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4991761	Contig	2022-01-23	JAKGOY01
GCA_021554955.1	Planktothrix agardhii 1032		1032				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4991761	Contig	2022-01-23	JAKGOY01
GCF_021554895.1	Planktothrix agardhii 1033		1033				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5349032	Contig	2022-01-23	JAKGOX01
GCA_021554895.1	Planktothrix agardhii 1033		1033				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5349032	Contig	2022-01-23	JAKGOX01
GCF_021554875.1	Planktothrix agardhii 1801		1801				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4856164	Contig	2022-01-23	JAKGOW01
GCA_021554875.1	Planktothrix agardhii 1801		1801				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4856164	Contig	2022-01-23	JAKGOW01
GCF_021554915.1	Planktothrix agardhii 1803		1803				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4991932	Contig	2022-01-23	JAKGOV01
GCA_021554915.1	Planktothrix agardhii 1803		1803				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4991932	Contig	2022-01-23	JAKGOV01
GCF_021554855.1	Planktothrix agardhii 1804		1804				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4869815	Contig	2022-01-23	JAKGOU01
GCA_021554855.1	Planktothrix agardhii 1804		1804				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4869815	Contig	2022-01-23	JAKGOU01
GCF_021554815.1	Planktothrix agardhii 1805		1805				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5039576	Contig	2022-01-23	JAKGOT01
GCA_021554815.1	Planktothrix agardhii 1805		1805				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5039576	Contig	2022-01-23	JAKGOT01
GCF_021554825.1	Planktothrix agardhii 1806		1806				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4970449	Contig	2022-01-23	JAKGOS01
GCA_021554825.1	Planktothrix agardhii 1806		1806				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4970449	Contig	2022-01-23	JAKGOS01
